commercial_id,product_id,list_price,negotiated_price,discount_percent,credit_period_days,payment_style,installation_cost,maintenance_cost_annual
C001,P001,4500,3800,15.6,45,30-70,800,450
C002,P002,2800,2400,14.3,30,50-50,400,280
C003,P003,35000,28000,20.0,60,20-80,2000,3500
C004,P004,18000,15500,13.9,45,40-60,1200,1800
C005,P005,28000,24500,12.5,90,10-90,4000,2800
C006,P006,5500,4800,12.7,60,30-70,600,550
C007,P007,85000,72000,15.3,75,25-75,8500,8500
C008,P008,12000,10200,15.0,45,50-50,1000,1200
C009,P009,3200,2650,17.2,30,40-60,500,320
C010,P010,8500,7200,15.3,45,30-70,750,850
C011,P011,15000,12800,14.7,60,20-80,1500,1500
C012,P012,22000,18500,15.9,45,30-70,2000,2200
C013,P013,125000,98000,21.6,120,15-85,15000,12500
C014,P014,18500,15800,14.6,75,25-75,2500,1850
C015,P015,95000,82000,13.7,90,20-80,9500,9500
C016,P016,450,380,15.6,30,50-50,50,45
C017,P017,2800,2350,16.1,45,30-70,300,280
C018,P018,45000,38500,14.4,60,20-80,3500,4500
C019,P019,25000,21000,16.0,45,40-60,1800,2500
C020,P020,35000,28500,18.6,90,15-85,5000,3500
C021,P021,1200,980,18.3,60,30-70,150,120
C022,P022,65000,55000,15.4,75,25-75,6000,6500
C023,P023,180000,155000,13.9,120,15-85,18000,18000
